datetime,tempmax,Forecast
2022-02-05,14.9,13.437204938225856
2022-02-06,15.6,14.004895969418905
2022-02-07,17.9,15.660795055705753
2022-02-08,13.5,12.842802315707054
2022-02-09,12.4,12.101758535325386
2022-02-10,14.4,13.811572415687058
2022-02-11,16.4,15.354599378850912
2022-02-12,16.0,15.098080770942698
2022-02-13,11.9,12.018122500594059
2022-02-14,12.5,12.558106076645625
2022-02-15,14.8,14.447003564968796
2022-02-16,16.8,15.976497047848616
2022-02-17,14.0,13.97522302893805
2022-02-18,18.4,17.725581494984628
2022-02-19,17.5,17.251963430159126
2022-02-20,15.7,15.831152013179434
2022-02-21,19.6,18.865252758072643
2022-02-22,18.6,18.14718432194434
2022-02-23,15.0,15.381555552331609
2022-02-24,11.4,12.465262167370852
2022-02-25,14.2,14.886109281782913
2022-02-26,15.0,15.649835492045602
2022-02-27,15.5,15.835562422929508
2022-02-28,11.0,11.945751514699161
2022-03-01,10.4,11.45827834209965
2022-03-02,8.5,9.75314134646998
2022-03-03,12.4,13.090557690046863
2022-03-04,15.0,15.002485245524863
2022-03-05,14.5,14.690804773652234
2022-03-06,17.3,16.985565382573924
2022-03-07,15.0,15.189032698172857
2022-03-08,13.1,13.500209203685147
2022-03-09,8.2,9.144629731298437
2022-03-10,5.4,6.565668584493918
2022-03-11,5.3,6.361374860228649
2022-03-12,4.2,5.275922838598039
2022-03-13,8.8,9.147489567993013
2022-03-14,9.4,9.47303545463303
2022-03-15,12.9,12.135185937367067
2022-03-16,15.0,13.711538520458333
2022-03-17,16.9,15.160707496492009
2022-03-18,10.4,10.30167146078865
2022-03-19,7.5,7.913406968873573
2022-03-20,6.9,7.426218442524165
2022-03-21,7.3,7.72010297976565
2022-03-22,13.4,12.414918592301103
2022-03-23,9.6,9.46230150092358
2022-03-24,17.5,15.095045649444963
2022-03-25,22.0,18.37962519447857
2022-03-26,17.4,15.934689587106588
2022-03-27,18.9,17.311584382534964
2022-03-28,17.6,16.68954022004549
2022-03-29,18.7,17.421490429164862
2022-03-30,18.5,17.37303710277731
2022-03-31,17.5,16.93485951056871
2022-04-01,22.4,20.90815888567786
2022-04-02,21.4,20.48994470066647
2022-04-03,19.0,18.552666838077176
2022-04-04,18.9,18.73364647774684
2022-04-05,18.4,18.502913227489234
2022-04-06,19.0,19.102150718481823
2022-04-07,22.5,21.839102057090614
2022-04-08,24.5,23.345570299707358
2022-04-09,23.0,22.501262064736803
2022-04-10,22.0,21.88595933204081
2022-04-11,16.9,17.8873957406453
2022-04-12,17.6,18.361102770250078
2022-04-13,18.4,18.879500047548508
2022-04-14,19.4,19.73533405865822
2022-04-15,21.0,21.11006182611091
2022-04-16,22.1,22.06937694994738
2022-04-17,16.3,17.17513580981868
2022-04-18,13.2,14.525878500794995
2022-04-19,15.3,16.46901936012682
2022-04-20,18.3,19.03324056231899
2022-04-21,20.7,20.901166840109617
2022-04-22,22.5,22.201652291553966
2022-04-23,24.0,23.33187083149832
2022-04-24,25.0,24.267170259065644
2022-04-25,27.0,26.186324089973706
2022-04-26,25.7,25.41511202337707
2022-04-27,25.6,25.5920870519382
2022-04-28,27.8,27.044106205127918
2022-04-29,21.6,22.03877709307
2022-04-30,22.4,22.880764808675135
2022-05-01,21.6,22.323135776000363
2022-05-02,16.8,18.27115491327532
2022-05-03,19.0,19.794705814296996
2022-05-04,19.4,20.20550187429155
2022-05-05,23.5,23.60881353889687
2022-05-06,21.5,22.006187010397632
2022-05-07,21.4,21.730626518177278
2022-05-08,21.2,21.32858882383411
2022-05-09,23.9,23.571923277350596
2022-05-10,23.4,23.229563127700818
2022-05-11,25.4,25.002106057346207
2022-05-12,26.5,25.769282467628376
2022-05-13,26.0,25.256320576310877
2022-05-14,25.1,24.651370847710982
2022-05-15,28.0,27.042320168123666
2022-05-16,28.6,27.659429994035538
2022-05-17,28.6,27.589122180842917
2022-05-18,29.5,28.55801551565927
2022-05-19,19.9,21.154784591097073
2022-05-20,22.9,23.72945289637996
2022-05-21,27.5,27.36760176895731
2022-05-22,29.0,28.416051088440295
2022-05-23,30.0,29.166508686761656
2022-05-24,30.0,29.364008679051974
2022-05-25,30.0,29.75583396830391
2022-05-26,32.5,31.98872399245481
2022-05-27,31.1,31.201683329703943
2022-05-28,32.4,31.877708861864477
2022-05-29,30.1,29.983614152226014
2022-05-30,29.5,29.810894488159953
2022-05-31,31.2,31.384220738991722
2022-06-01,31.4,31.707479968076825
2022-06-02,32.4,32.14887591587127
2022-06-03,32.0,32.13487034041889
2022-06-04,32.1,32.39155496917413
2022-06-05,33.9,33.95810031915376
2022-06-06,33.5,33.46820896514648
2022-06-07,28.4,29.058576510970852
2022-06-08,28.2,28.986020915414656
2022-06-09,29.6,30.144335955279065
2022-06-10,28.0,28.987944110444356
2022-06-11,25.9,26.9962303502712
2022-06-12,28.3,28.6778856519557
2022-06-13,29.6,29.724926010815103
2022-06-14,31.4,31.224050925989296
2022-06-15,30.8,30.78150283322229
2022-06-16,30.8,30.561026610758983
2022-06-17,30.4,30.38632616990767
2022-06-18,29.9,30.375637344461094
2022-06-19,27.9,28.830279139587063
2022-06-20,29.4,29.87770806470252
2022-06-21,34.4,33.62693593025384
2022-06-22,35.5,34.40463776949687
2022-06-23,36.6,35.46455854893237
2022-06-24,31.3,31.66080126920808
2022-06-25,31.8,32.204392125279476
2022-06-26,31.9,32.486495270777716
2022-06-27,31.9,32.0067658452642
2022-06-28,32.9,32.63342040211043
2022-06-29,32.4,32.52656135658055
2022-06-30,33.5,33.58235100863076
2022-07-01,33.9,34.03184258926277
2022-07-02,34.0,33.68356889477517
2022-07-03,31.4,31.84045434046168
2022-07-04,31.9,32.34125438512287
2022-07-05,32.5,32.86149226797507
2022-07-06,32.4,32.530898318287875
2022-07-07,32.9,32.61511536016141
2022-07-08,31.9,31.961729072041056
2022-07-09,28.0,28.78716296544606
2022-07-10,29.4,30.056570505228237
2022-07-11,29.8,30.13744099733637
2022-07-12,30.7,30.575689003177324
2022-07-13,28.4,28.714886840683505
2022-07-14,29.9,29.931256490164245
2022-07-15,32.2,31.771492596361213
2022-07-16,35.8,34.37422831073647
2022-07-17,34.9,33.950847544687235
2022-07-18,31.4,31.66540918741579
2022-07-19,28.4,29.320477768396536
2022-07-20,29.4,29.94977040106422
2022-07-21,33.4,32.90141334061899
2022-07-22,35.4,34.3593293392711
2022-07-23,36.4,35.326537215845725
2022-07-24,37.9,36.96648754850359
2022-07-25,34.5,34.536886385895905
2022-07-26,34.9,35.12333504225979
2022-07-27,36.4,35.85385489034752
2022-07-28,33.6,33.4961307663434
2022-07-29,33.0,33.310143875751265
2022-07-30,34.4,34.61442315771847
2022-07-31,34.1,34.495413471236134
2022-08-01,32.6,32.827459141381134
2022-08-02,32.6,33.0457689687481
2022-08-03,31.9,32.565749424065636
2022-08-04,32.5,33.070142247338545
2022-08-05,32.9,33.126342439639174
2022-08-06,33.4,33.19584880270498
2022-08-07,32.0,32.20656867970862
2022-08-08,31.9,32.14047712836078
2022-08-09,33.4,33.54593587198992
2022-08-10,32.9,32.92885519221677
2022-08-11,31.9,31.850103565583165
2022-08-12,32.4,32.26583297020928
2022-08-13,30.5,30.77863543961887
2022-08-14,32.9,32.70289659248852
2022-08-15,30.8,30.78000639702208
2022-08-16,33.0,32.66284858749623
2022-08-17,34.4,34.243411265049936
2022-08-18,35.9,35.64384131086232
2022-08-19,37.0,36.41898684248843
2022-08-20,35.5,35.03063214258865
2022-08-21,32.0,32.1016397454965
2022-08-22,31.4,31.672154022520775
2022-08-23,29.3,30.19564583295234
2022-08-24,26.9,28.231314385412755
2022-08-25,27.2,28.546666074420557
2022-08-26,28.9,29.423718405544605
2022-08-27,30.5,30.47962033019347
2022-08-28,31.9,31.825752813117735
2022-08-29,33.5,33.24810643189757
2022-08-30,33.0,32.956471852020364
2022-08-31,32.0,31.71607657993449
2022-09-01,31.0,31.123127496989074
2022-09-02,31.5,31.610201887755615
2022-09-03,30.0,30.40746740541851
2022-09-04,31.7,31.51135916876131
2022-09-05,27.3,27.64524346425022
2022-09-06,26.6,27.106860720400025
2022-09-07,27.4,27.709123666364842
2022-09-08,29.4,29.449013950370993
2022-09-09,31.5,30.907924363432674
